Title,Address,Building Info,Transport 1,Transport 2,Transport 3,Floor,Rent,Administration Fee,Deposit,Gratuity,Layout,Size,Detail URL
一番町ファーストビル,東京都千代田区一番町,"築37年
地下1地上6階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩6分,ＪＲ中央線/市ケ谷駅 歩11分,5階,14.6万円,10000円,14.6万円,14.6万円,1DK,44.51m2,/chintai/jnc_000079371182/?bc=100340536327
CITY SPIRE 半蔵門,東京都千代田区麹町３,"築19年
地下1地上12階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/市ケ谷駅 歩4分,2階,28.2万円,15000円,-,-,1LDK,59.39m2,/chintai/jnc_000085727147/?bc=100218718304
CITY SPIRE 半蔵門,東京都千代田区麹町３,"築19年
地下1地上12階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/市ケ谷駅 歩4分,4階,28.3万円,15000円,-,-,1LDK,59.39m2,/chintai/jnc_000085727147/?bc=100218718304
CITY SPIRE 半蔵門,東京都千代田区麹町３,"築19年
地下1地上12階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/市ケ谷駅 歩4分,6階,28.5万円,15000円,-,-,1LDK,62.24m2,/chintai/jnc_000085727147/?bc=100218718304
CITY SPIRE 半蔵門,東京都千代田区麹町３,"築19年
地下1地上12階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/市ケ谷駅 歩4分,2階,29.5万円,15000円,-,-,1LDK,59.39m2,/chintai/jnc_000085727147/?bc=100218718304
CITY SPIRE 半蔵門,東京都千代田区麹町３,"築19年
地下1地上12階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/市ケ谷駅 歩4分,11階,31.5万円,15000円,-,-,1LDK,59.39m2,/chintai/jnc_000085727147/?bc=100218718304
CITY SPIRE 半蔵門,東京都千代田区麹町３,"築19年
地下1地上12階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩4分,ＪＲ中央線/市ケ谷駅 歩4分,12階,32.5万円,15000円,-,-,1LDK,59.39m2,/chintai/jnc_000085727147/?bc=100218718304
レーヴ半蔵門,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩7分,2階,21.6万円,10500円,-,21.6万円,1DK,33.95m2,/chintai/jnc_000082176551/?bc=100342428933
レーヴ半蔵門,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩7分,3階,22万円,10500円,-,22万円,1DK,33.95m2,/chintai/jnc_000082176551/?bc=100342428933
レーヴ半蔵門,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩7分,8階,27.3万円,10000円,27.3万円,-,1SLDK,54.15m2,/chintai/jnc_000082176551/?bc=100342428933
レーヴ半蔵門,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩7分,11階,28万円,10000円,28万円,28万円,1SLDK,54.15m2,/chintai/jnc_000082176551/?bc=100342428933
レーヴ半蔵門,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩7分,2階,31.3万円,10500円,-,31.3万円,1SLDK,54.15m2,/chintai/jnc_000082176551/?bc=100342428933
レーヴ半蔵門,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩7分,5階,32万円,10500円,-,32万円,1SLDK,54.15m2,/chintai/jnc_000082176551/?bc=100342428933
レーヴ半蔵門,東京都千代田区隼町,"築8年
13階建",東京メトロ半蔵門線/半蔵門駅 歩3分,東京メトロ有楽町線/麹町駅 歩7分,東京メトロ南北線/永田町駅 歩7分,6階,32.1万円,10500円,-,32.1万円,1SLDK,54.15m2,/chintai/jnc_000082176551/?bc=100342428933
東京メトロ半蔵門線 半蔵門駅 5階建 築29年,東京都千代田区三番町,"築29年
5階建",東京メトロ半蔵門線/半蔵門駅 歩5分,東京メトロ有楽町線/麹町駅 歩10分,ＪＲ中央線/市ケ谷駅 歩10分,1階,13.5万円,10000円,13.5万円,13.5万円,1LDK,36.15m2,/chintai/jnc_000073062199/?bc=100352750409
エルスタンザ平河町,東京都千代田区平河町１,"築9年
地下1地上14階建",東京メトロ有楽町線/麹町駅 歩3分,東京メトロ半蔵門線/半蔵門駅 歩4分,東京メトロ有楽町線/永田町駅 歩8分,9階,23.8万円,12000円,23.8万円,-,1LDK,45.83m2,/chintai/jnc_000086347638/?bc=100352939297
